accumulate,積む、ためる; 積もる、たまる; 【コンピュータ】累算する
a dog in the manger,意地悪な人
a red letter day,吉日、記念すべき日
acerbate,怒らせる、いらだたせる
acolyte,助手、部下
administer,支配［統治］する; 運営する; 管理［処理］する; (法律を)施行［執行］する; (打撃などを)与える; (手当を)施す
ado,騒ぎ
adroit,巧みな、抜け目ない
adversary,敵、(競技などの)相手(方); (the A-) 悪魔 (Satan)
advocacy,弁護; 主張
aesthetic,美的な
affliction,苦難、苦悩
aging,老化; (酒などの)熟成
albeit,～ではあるが、～にもかかわらず
allegiance,忠誠
allegorical,寓話の,比喩的な
alpine,高山の
altitude,高さ、高度; 標高、海抜; 高所; (天体の)高度
amass,集める、蓄積する
ambiguous,あいまいな、両［多］義にとれる.
ambush,待伏せ(の場所); 伏兵
amicable,友好的な; 平和的な
amnesia,記憶喪失、健忘症
anecdote,逸話、秘話
anemia,貧血、無気力
anguish,激痛、苦悩
antecede,先行[優先]する。
antecedent,先立つ、前の ((to)); 仮定の
anthology,名詩選、名文集、詞華集
apace,速やかに
apathetically,無関心に
apiece,一人［一つ］につき、めいめい(に).
apocrypha,出所の怪しい文書
apostle,使者、主唱者、唱道者
append,(札などを)つける (attach); 加える; (署名を)する; (印を)押す; 【コンピュータ】付加する、アペンド
aptitude,性向、素質 ((for)); 適性; 才
arable,耕作に適した。
arcane,不可解な、神秘的な
arduous,困難な、骨の折れる、精力的な
arraign,罪状認否を問う
arrhythmia,不整脈
arthritis,関節炎
as it happen,あいにく
ascendant,優勢な、優越している;
ascetic,苦行の、禁欲的な.
aspiration,熱望、大望、抱負 ((for, after)); 【医】吸出し (suction); 気音(発音).
assimilate,同化する、吸収する ((to)); 消化する; 理解する
astray,道に迷って。正道を踏み外して。
astute,鋭い、機敏な、ずるい
at first sight,一見したところでは
ataraxia,精神の安定、平静、落ち着き
attrition,磨耗,消耗
augment,増す、増大［増加］する
austere,厳しい、質素な
availability,有効(性)、有益
avenge,復讐する
avert,避ける; 防ぐ; そらす
avid,熱心な どん欲な
awash,いっぱいで あふれて
awry,それて 不首尾に
backhanded,回りくどい、間接的な、皮肉な
ballast,安定させるもの
ballot,(無記名)投票用紙［小球］; (無記名)投票(総数); (普通the ～) 投票権; 立候補者名簿; くじ; 【株】(抽選による)新株の割り当て.
bane,破滅のもと、悩みの種
banish,追放する 取り除く
baptize,洗礼を施す、命名する
barrage,集中砲火、連発
barring,…を除いて; …がなければ
be devoid of,～を欠いている
be fed up with,うんざりしている
be no match for,～にかなわない
be pressed for time,時間が足りない
bedevil,苦しめる
behalf,利益
bellicose,好戦的な
belonging,所持品; 財産; 性質; 〔話〕 一族、親類; 密接な関係.
bemoan,祝福、神の恵み
benediction,悲しむ 嘆く 哀れむ
beneficent,なさけ深い、奇特
benevolence,慈悲、なさけ; 徳行、慈善(行為).
bereave,奪う ((of)) (be ～d of one's mother 母に死なれる)
berth,(船・列車などの)寝台; 停泊地; 操船余地 (sea room); (気楽な)地位、職.
beset,悩ます
bestow,授ける、贈る、費やす
bide our time,好機を待つ
binge,大騒ぎ
blackmail,ゆすり(取る)、恐喝(する); 脅迫して…させる ((into)).
blare,がなりたてる
blaze,切り開く、先べんをつける
blink,まばたき; 一目; きらめき
blister,激しく非難する
blunderingly,まごついて
bluster,偉そうに～する、どなりちらす
bog,泥沼にはめる
boggle,驚く、たじろぐ
bolster,強化する、支持する
bolt,脱党[脱退]する
bondage,奴隷の身分; 束縛.
boon,恩恵; 〔古〕 頼み(ごと).
booze,酒
bracing,緊張させる、元気づける
brandish,振り回す振りかざす
brash,軽率な、無謀な、傍若無人な
brawn,筋肉、筋力、体力
break in,(泥棒が)押し入る
break in on,さえぎる、中断する
breakdown,崩壊; 故障、破損; 断絶; 中断; 衰弱; 分解、分析、分類; 〔米〕 騒がしいダンス
brochure,パンフレット、仮とじ本
broil,あぶる(こと); 焼き肉; じりじり照りつける; 焼けつくように暑い
brunt,攻撃の主力［ほこ先］.
buffer,緩衝器［物］、(衝撃を)緩和する; 【化】緩衝剤(で処理する); 【コンピュータ】バッファ、緩衝記憶装置.
bulletin,公報; 告示; 速報; 定期刊行物.
bumper,非常に大きな,豊作の
bungle,へま
buoy,元気づける、鼓舞する
by and by,まもなく
by the large,全般的には
calumny,中傷、悪口
camaraderie,友情、仲間意識
canopy,天がい状のもの
capricious,気まぐれな
carcinogen,発ガン物質
cardinal,主要な、基本的な; 緋色(ひいろ)の.
carnage,大虐殺
carryover,繰越し; 持越し(品)、残っているもの、名残; 影響
catastrophic,破滅的な
caucus,党員集会
censorship,検閲; 検閲官の職(務).
cessation,中止、休止
chafe,いらいらさせる。いらだつ。
changed hands,持ち主が変わる
chasm,(岩・地面の)深い割目; すき間; (感情・意見などの)隔り.
chasten,懲らしめる
chieftain,指導者、首領
chisel,のみ、彫刻刀
chore,(毎日の)雑用、いやな［退屈な］仕事
christen,洗礼を施す、命名する
chronic,長引く、慢性の; ひどい、いやな; 病みつきの
chronicle,年代記、記録; 物語; (C-) …新聞 (The News Chronicle).
chummy,親しい、仲良しの、友好的な
circa,約、およそ、～頃
circumference,円周、周囲、周辺.
circumlocution,まわりくどい言い方; 言いのがれ
circumscribe,まわりに線を引く、囲む; 制限する; 【数】外接させる.
clergy,聖職者
closer,閉鎖者
clumsy,ぎこちない、不器用な
clunky,響きが悪い。不体裁な。
coalesce,合体する、連合する
coattails,有力者の力
coed,男女共学の
cohere,密着する; 凝集［結合］する; (話が)首尾一貫する; 一致する、協力する.
collaboration,合作、共同研究
colossal,巨大な; 〔話〕 すばらしい
comely,容姿のいい、きれいな
comeuppance,当然の報い
compatible,仲よくやっていける; 両立できる ((with)); (電気器具などが)(支障なく)一緒に使用できる ((with)); 互換性のある.
complement,補足(物); 【文法】補語; 【数】余角、補数、補集合; (乗組員の)定員; 必要な数［量］; 【免疫】補体
compliance,応諾、従順 ((with)).
comrade,同志
concede,認める、与える
conceit,うぬぼれ
conceited,うぬぼれの強い
conception,妊娠; 概念、理解 ((of)); 概念作用; 想像力; 着想
condone,大目に見る
conduit,経路、ルート
conflagration,大火
conflicting,相反する
congenial,同性質の ((with)); 性に合う ((to)); (気分に)適した ((to)).
congestion,【医】充血; (交通)渋滞
congruous,適切な.
conjure,思い出させる。ほうふつさせる。
connoisseur,通、玄人、権威
consecrate,神聖化する; 奉献する (～ a church 献堂する); (ある目的に)捧げる ((to)).
consolation,慰め(になるもの［人］).
consort,付き合う、交わる
conspicuously,目立って
consternate,驚かす、肝をつぶさせる
contemplative,瞑想にふける
continuity,連続(性); (論理的)連関(性); 撮影［放送］台本、コンテ; (放送の間に入れる)つなぎの文句［音楽］.
continuously,連続して
contradictory,矛盾する
contumely,侮辱、無礼
cordon,非常線,非常線を張る
cornucopia,豊富.豊作
coronary,心臓の,冠動脈の
corroborate,補強する、確認する、確証する
council,会議; 評議会、審議会、協議会; 地方議会; 〔英〕 (the C-) 枢密院; 討議.
countenance,顔(つき); 面目; 落ち着き; 賛成、支持
counteroffensive,反攻、逆襲
counterpart,(対(つい)の)片方、片割れ; (正副書類の)一通; 写し; 似た人［もの］.
coverage,(保険の)補償範囲、保険補償額; 報道(範囲); (広告の)分布範囲; 【放送】サービス区域.
craven,臆病な、ひきょうな、臆病者
credulous,信じ［だまされ］やすい ((of)).
crony,親友
cross my mind,ふと心に浮かぶ
crow,勝ち誇る、歓声を上げる
cue,(せりふの)渡し文句、キュー; きっかけ; 合図、ヒント; 役割; 気分; 【コンピュータ】キュー
culinary,料理の
cult,礼拝(式)、儀式; (宗教的な)信仰; 新興宗教; 崇拝、礼賛 ((of)); 熱狂、流行; ((集合的)) (主義などの)崇拝者、ファンたち
curio,(pl. ～s) 骨とう品
cursory,粗雑［ぞんざい］な; 大急ぎの
dais,演壇
damn,呪(のろ)い; 〔話〕 ((否定文で)) 少し.
dampen,低下させる、鈍らせる
daunt,気力をくじく、怖がらせる
daunt,おどかす; 気力をくじく
deaden,弱める; 鈍らせる; 無感覚にする; 音［つや］を消す; 死ぬ; 弱まる; 鈍る.
dean,学部長
debase,(品質などを)低下させる
deceitful,人をだます、偽りの、人を惑わすような
decent,品行、ふるまい
decrepit,老衰［老朽化］した
dedicated,打ち込んだ、熱心な; 【コンピュータ】専用の (～ed terminal (入力専用の)端末機).
deduction,差引、割引、控除(額); 推論［推定］; 【論】演繹(えんえき)(法) ((inductionの対)).
deem,まともな、人並みな、申し分のない
defer,延ばす［びる］、延期する; 〔米〕 (徴兵を)猶予する
degrade,降格する; 堕落［悪化］させる［する］; 価値を下げる; 【生物】退化させる; 【化】分解する
dejection,落胆、失意.
deliriously,精神錯乱して
delivery,配達; 配達回数; 配達品; 引渡し、交付; (演説の)仕方、話しぶり; 分娩、出産; 投球(法); 解放.
demagog,扇動(政治)家
demeanor,考える、思う
demise,消滅、絶滅、終焉
denouement,結末、解決、けり
denunciate,非難する、告発する
deplete,からにする、涸渇(こかつ)させる ((of)).
deportment,(特に、若い女性の人前での)態度
depravity,堕落; 不善、悪行
